id,name,email,bio,skills
15,Sophia Baker,sophiabaker@example.com,"Sophia is an entry-level developer who has recently started learning React and building personal projects. She is excited to continue growing her skills and has a particular interest in AI-powered web applications. Sophia is eager to learn from more experienced developers and contribute to a collaborative team.","React, CSS, HTML, Git"
16,Joshua Harris,joshuaharris@example.com,"Joshua is a mid-level developer specializing in React and Next.js. He has experience building scalable web applications for eCommerce platforms and is familiar with REST APIs. Joshua is always looking for new ways to improve his code and enjoys working in a fast-paced, dynamic environment.","React, Next.js, JavaScript, REST APIs, Git"
17,Chloe Turner,chloeturner@example.com,"Chloe is a developer passionate about AI-powered applications. She has strong skills in both CrewAI and the Vercel AI SDK, which she has used to create personalized, data-driven user experiences. Chloe is looking to work on cutting-edge projects where she can continue to grow her skills and contribute to innovative solutions.","React, Next.js, JavaScript, Vercel AI SDK, CrewAI, REST APIs, CSS"
18,Luke Roberts,lukeroberts@example.com,"Luke is a junior developer focused on building user-friendly React applications with clean, efficient code. He has a strong understanding of front-end fundamentals and is eager to continue building his skills in more advanced technologies, such as Next.js and AI integrations.","React, JavaScript, CSS, HTML"
19,Emma Mitchell,emmamitchell@example.com,"Emma is a web developer with strong skills in integrating AI solutions into front-end projects. She has experience working with both the Vercel AI SDK and CrewAI and enjoys creating applications that provide a seamless user experience. Emma is looking to join a team where she can contribute her technical skills and continue to grow as a developer.","React, Next.js, JavaScript, Vercel AI SDK, CrewAI, REST APIs"
20,Henry Garcia,henrygarcia@example.com,"Henry is a recent graduate with a focus on AI-powered web applications. He has completed several projects, including a Next.js app that leverages the Vercel AI SDK for personalized recommendations. Henry is passionate about applying AI to solve real-world problems and is eager to join a team that shares his enthusiasm.","React, JavaScript, Vercel AI SDK, CrewAI, Next.js, Git"
21,Grace Hill,gracehill@example.com,"Grace is a junior developer with a strong foundation in web development and a growing interest in AI technologies. She has built multiple personal projects using React and JavaScript, including a weather app and a blog site. Grace is eager to join a team where she can expand her knowledge of Next.js and AI-driven solutions.","React, JavaScript, CSS, HTML, Git"
22,David Foster,davidfoster@example.com,"David is a mid-level React developer with experience in building responsive web applications using Next.js. He has worked on several eCommerce projects and is proficient in modern front-end technologies. David has recently started exploring AI integrations using the Vercel AI SDK and is looking for a role where he can apply these skills.","React, Next.js, JavaScript, CSS, HTML, Git"
23,Isabella Russell,isabellarussell@example.com,"Isabella is an entry-level developer with basic React knowledge and a passion for learning new technologies. She has completed several online courses and built personal projects focused on improving her front-end development skills. Isabella is looking for an opportunity to gain hands-on experience and contribute to a real-world project.","React, CSS, HTML, JavaScript"
24,Ethan Reed,ethanreed@example.com,"Ethan is a self-taught web developer with experience in full-stack development and AI-driven solutions. He has built several web applications using React, Next.js, and the Vercel AI SDK. Ethan enjoys tackling complex problems and is excited to continue working on AI-powered projects that enhance user experience.","React, Next.js, JavaScript, CrewAI, Vercel AI SDK, REST APIs"
25,Abigail Ward,abigailward@example.com,"Abigail is an intermediate developer with strong React skills and experience in integrating AI into web applications. She has worked on projects that leverage the Vercel AI SDK to deliver personalized content to users. Abigail is passionate about user experience and enjoys building applications that are both functional and visually appealing.","React, Next.js, JavaScript, Vercel AI SDK, CSS, Git"
26,Aiden Bailey,aidenbailey@example.com,"Aiden is an experienced full-stack developer with a focus on front-end technologies and AI-powered tools. He has led several projects that use CrewAI and the Vercel AI SDK to provide advanced AI-driven features. Aiden is excited to join a team where he can continue building innovative solutions and mentor junior developers.","React, Next.js, JavaScript, CrewAI, Vercel AI SDK, REST APIs"
27,Lily King,lilyking@example.com,"Lily is a junior developer with a solid understanding of React. She has worked on a few personal projects, including a to-do list app and a portfolio website. Lily is eager to contribute to AI-driven projects and is currently learning Next.js to improve her front-end development skills.","React, JavaScript, CSS, HTML, Git"
28,Benjamin Turner,benjaminturner@example.com,"Benjamin is a front-end developer with experience in modern web technologies and AI integrations. He has contributed to several projects that use the Vercel AI SDK and CrewAI to provide personalized user experiences. Benjamin is passionate about building scalable web applications and improving his skills in AI-powered solutions.","React, Next.js, Vercel AI SDK, CrewAI, JavaScript, CSS"
29,Zoe Barnes,zoebarnes@example.com,"Zoe is a junior developer looking to grow her skills in React and AI-driven web applications. She has built several personal projects and is constantly learning new technologies to improve her code. Zoe is excited to work on real-world projects where she can continue developing her skills and gain experience in AI integrations.","React, CSS, HTML, JavaScript, Git"
30,Alexander Cook,alexandercook@example.com,"Alexander is an experienced developer specializing in building high-performance web applications using React and Next.js. He has worked on projects that leverage CrewAI and the Vercel AI SDK to enhance user engagement through personalized features. Alexander enjoys working in fast-paced environments and collaborating with teams to build innovative solutions.","React, Next.js, JavaScript, CrewAI, Vercel AI SDK, REST APIs"
